"Condition","NoiseLevel","NTrials","UniqueAttractors","DominantAttractorFreq","ShannonEntropy","AvgFlipsPerStep"
"Sham",0,500,1,1,0,0
"Sham",0.02,500,480,0.006,6.1571,0.64
"Sham",0.05,500,497,0.004,6.2063,1.6
"Sham",0.1,500,500,0.002,6.2146,3.21
"Sham",0.15,500,500,0.002,6.2146,4.79
"Sham",0.2,500,500,0.002,6.2146,6.41
"WT_IR",0,500,1,1,0,0
"WT_IR",0.02,500,475,0.006,6.1432,0.64
"WT_IR",0.05,500,498,0.004,6.2091,1.6
"WT_IR",0.1,500,500,0.002,6.2146,3.2
"WT_IR",0.15,500,500,0.002,6.2146,4.79
"WT_IR",0.2,500,500,0.002,6.2146,6.4
"Ogt_KO",0,500,1,1,0,0
"Ogt_KO",0.02,500,477,0.008,6.1481,0.64
"Ogt_KO",0.05,500,499,0.004,6.2118,1.6
"Ogt_KO",0.1,500,500,0.002,6.2146,3.2
"Ogt_KO",0.15,500,500,0.002,6.2146,4.79
"Ogt_KO",0.2,500,500,0.002,6.2146,6.4
"Oga_KO",0,500,1,1,0,0
"Oga_KO",0.02,500,483,0.004,6.1675,0.64
"Oga_KO",0.05,500,499,0.004,6.2118,1.6
"Oga_KO",0.1,500,500,0.002,6.2146,3.21
"Oga_KO",0.15,500,500,0.002,6.2146,4.8
"Oga_KO",0.2,500,500,0.002,6.2146,6.4
"Nrf2_OE",0,500,1,1,0,0
"Nrf2_OE",0.02,500,488,0.004,6.1813,0.64
"Nrf2_OE",0.05,500,498,0.004,6.2091,1.6
"Nrf2_OE",0.1,500,500,0.002,6.2146,3.19
"Nrf2_OE",0.15,500,500,0.002,6.2146,4.8
"Nrf2_OE",0.2,500,500,0.002,6.2146,6.41
"Nrf2_KO",0,500,1,1,0,0
"Nrf2_KO",0.02,500,488,0.004,6.1813,0.64
"Nrf2_KO",0.05,500,497,0.004,6.2063,1.6
"Nrf2_KO",0.1,500,500,0.002,6.2146,3.2
"Nrf2_KO",0.15,500,500,0.002,6.2146,4.81
"Nrf2_KO",0.2,500,500,0.002,6.2146,6.4
"BACH1_KO",0,500,1,1,0,0
"BACH1_KO",0.02,500,486,0.006,6.1747,0.64
"BACH1_KO",0.05,500,500,0.002,6.2146,1.6
"BACH1_KO",0.1,500,500,0.002,6.2146,3.2
"BACH1_KO",0.15,500,500,0.002,6.2146,4.79
"BACH1_KO",0.2,500,500,0.002,6.2146,6.4
